Z‖ampere‖SI‖En‖Ampėre‖
*Z‖bayes‖SI‖En‖Bayes‖
*Z‖bernoulli‖SI‖En‖Bernoulli‖
*Z‖bezier‖SI‖En‖Bézier‖
Z‖bode‖SI‖En‖Bode‖
*Z‖castro‖SI‖En‖Castro‖
*Z‖chopin‖SI‖En‖Chopin‖
*Z‖einstein‖SI‖En‖Einstein‖
*Z‖euler‖SI‖En‖Euler‖
*Z‖fourier‖SI‖En‖Fourier‖
*Z‖gantt‖SI‖En‖Gantt‖
Z‖hall‖SI‖En‖Hall‖
*Z‖haller‖SI‖En‖Haller‖
*Z‖hanning‖SI‖En‖Hanning‖
*Z‖mckinsey‖SI‖En‖McKinsey‖
*Z‖mickiewicz‖SI‖En‖Mickiewicz‖
*Z‖murphy‖SI‖En‖Murphy‖
*Z‖newton‖SI‖En‖Newton‖
*Z‖nyquist‖SI‖En‖Nyquist‖
*Z‖rubik‖SI‖En‖Rubik‖
Z‖simpson‖SI‖En‖Simpson‖
*Z‖venn‖SI‖En‖Venn‖
*Z‖wedel‖SI‖En‖Wedel‖
*Z‖wittgenstein‖SI‖En‖Wittgenstein‖
