/*
License:		CC BY-SA (Creative Commons Attribution-ShareAlike)

Author:		Maciej Słojewski (🐘), http://mslonik.pl

Purpose:		Based on library "(Unicode Sender) Orthographic.csv" with typomatic convention of my hotstrings.

Notes:		Reviewed, verified, supplemented and corrected on 2023-02-26.

Example:		centigrade/ -> ℃
*/

*C1?Z‖ohminverted/‖SI‖En‖℧‖inverted ohm sign (U+2127)
*C1?Z‖ohmsigninverted/‖SI‖En‖℧‖inverted ohm sign (U+2127)
*C1?Z‖ohmsymbolinverted/‖SI‖En‖℧‖inverted ohm sign (U+2127)
*C1?Z‖checkmark/‖SI‖En‖✓‖check mark (U+2713)
*C1?Z‖xmark/‖SI‖En‖✗‖ballot x (U+2717)
*C1?Z‖ballotx/‖SI‖En‖✗‖ballot x (U+2717)
*C1?Z‖ballotmark/‖SI‖En‖✗‖ballot x (U+2717)
*C1?Z‖masculineordinal/‖SI‖En‖º‖masculine ordinal indicator (U+00BA)
*C1?Z‖feminineordinal/‖SI‖En‖ª‖feminine ordinal indicator (U+00AA)
*C1?Z‖roughbreathing/‖SI‖En‖{U+0314}‖combining reversed comma above (U+0314)
*C1?Z‖smoothbreathing/‖SI‖En‖{U+1FBF}‖greek psili (U+1FBF)
*C1?Z‖bullet/‖SI‖En‖•‖bullet (U+2022)
*C1?Z‖bullethyph/‖SI‖En‖⁃‖hyphen bullet (U+2043)
*C1?Z‖bullettriangular/‖SI‖En‖‣‖triangular bullet (U+2023)
*C1?Z‖bullettriangle/‖SI‖En‖‣‖triangular bullet (U+2023)
*C1?Z‖leftarrow/‖SI‖En‖←‖leftwards arrow (U+2190)
*C1?Z‖uparrow/‖SI‖En‖↑‖upwards arrow (U+2191)
*C1?Z‖rightarrow/‖SI‖En‖→‖rightwards arrow (U+2192)
*C1?Z‖downarrow/‖SI‖En‖↓‖downwards arrow (U+2193)
*C1?Z‖careof/‖SI‖En‖℅‖care of (U+2105)
*C1?Z‖cadauna/‖SI‖En‖℆‖cada una (U+2106)
*C1?Z‖numero/‖SI‖En‖№‖numero sign (U+2116)
*C1?Z‖numerosign/‖SI‖En‖№‖numero sign (U+2116)

*C1?Z‖tie/‖SI‖En‖⁀‖character tie (U+2040)
*C1?Z‖tieunder/‖SI‖En‖‿‖undertie (U+203F)
*C1?Z‖tieunderinverted/‖SI‖En‖⁔‖inverted undertie (U+2054)
